Week,snow: (District of Columbia)
3/25/12,3
4/1/12,3
4/8/12,3
4/15/12,3
4/22/12,4
4/29/12,3
5/6/12,3
5/13/12,3
5/20/12,4
5/27/12,7
6/3/12,6
6/10/12,4
6/17/12,4
6/24/12,3
7/1/12,3
7/8/12,3
7/15/12,3
7/22/12,3
7/29/12,3
8/5/12,3
8/12/12,3
8/19/12,3
8/26/12,3
9/2/12,4
9/9/12,5
9/16/12,4
9/23/12,4
9/30/12,4
10/7/12,5
10/14/12,4
10/21/12,5
10/28/12,7
11/4/12,7
11/11/12,5
11/18/12,5
11/25/12,6
12/2/12,8
12/9/12,7
12/16/12,9
12/23/12,14
12/30/12,8
1/6/13,7
1/13/13,11
1/20/13,16
1/27/13,8
2/3/13,12
2/10/13,6
2/17/13,6
2/24/13,6
3/3/13,22
3/10/13,4
3/17/13,4
3/24/13,8
3/31/13,4
4/7/13,3
4/14/13,3
4/21/13,3
4/28/13,3
5/5/13,2
5/12/13,3
5/19/13,3
5/26/13,3
6/2/13,3
6/9/13,3
6/16/13,3
6/23/13,3
6/30/13,3
7/7/13,3
7/14/13,3
7/21/13,3
7/28/13,3
8/4/13,2
8/11/13,4
8/18/13,3
8/25/13,3
9/1/13,2
9/8/13,2
9/15/13,3
9/22/13,3
9/29/13,3
10/6/13,4
10/13/13,3
10/20/13,4
10/27/13,5
11/3/13,6
11/10/13,7
11/17/13,5
11/24/13,8
12/1/13,9
12/8/13,24
12/15/13,11
12/22/13,9
12/29/13,21
1/5/14,10
1/12/14,6
1/19/14,27
1/26/14,16
2/2/14,12
2/9/14,41
2/16/14,10
2/23/14,10
3/2/14,19
3/9/14,5
3/16/14,14
3/23/14,8
3/30/14,3
4/6/14,3
4/13/14,4
4/20/14,2
4/27/14,3
5/4/14,3
5/11/14,4
5/18/14,3
5/25/14,3
6/1/14,3
6/8/14,3
6/15/14,3
6/22/14,3
6/29/14,2
7/6/14,3
7/13/14,3
7/20/14,3
7/27/14,3
8/3/14,3
8/10/14,3
8/17/14,2
8/24/14,3
8/31/14,3
9/7/14,4
9/14/14,4
9/21/14,5
9/28/14,4
10/5/14,5
10/12/14,5
10/19/14,4
10/26/14,6
11/2/14,6
11/9/14,10
11/16/14,20
11/23/14,18
11/30/14,9
12/7/14,12
12/14/14,10
12/21/14,11
12/28/14,12
1/4/15,19
1/11/15,9
1/18/15,12
1/25/15,36
2/1/15,19
2/8/15,17
2/15/15,33
2/22/15,18
3/1/15,28
3/8/15,6
3/15/15,7
3/22/15,5
3/29/15,4
4/5/15,4
4/12/15,4
4/19/15,3
4/26/15,3
5/3/15,3
5/10/15,4
5/17/15,3
5/24/15,4
5/31/15,4
6/7/15,4
6/14/15,10
6/21/15,4
6/28/15,3
7/5/15,3
7/12/15,3
7/19/15,3
7/26/15,3
8/2/15,3
8/9/15,3
8/16/15,3
8/23/15,4
8/30/15,3
9/6/15,3
9/13/15,4
9/20/15,4
9/27/15,5
10/4/15,4
10/11/15,4
10/18/15,5
10/25/15,5
11/1/15,5
11/8/15,6
11/15/15,7
11/22/15,7
11/29/15,8
12/6/15,8
12/13/15,9
12/20/15,10
12/27/15,9
1/3/16,9
1/10/16,10
1/17/16,100
1/24/16,70
1/31/16,13
2/7/16,19
2/14/16,14
2/21/16,6
2/28/16,8
3/6/16,4
3/13/16,5
3/20/16,4
3/27/16,3
4/3/16,4
4/10/16,4
4/17/16,4
4/24/16,5
5/1/16,5
5/8/16,4
5/15/16,3
5/22/16,3
5/29/16,3
6/5/16,3
6/12/16,3
6/19/16,3
6/26/16,6
7/3/16,4
7/10/16,3
7/17/16,2
7/24/16,3
7/31/16,3
8/7/16,3
8/14/16,3
8/21/16,3
8/28/16,3
9/4/16,3
9/11/16,3
9/18/16,3
9/25/16,4
10/2/16,4
10/9/16,4
10/16/16,4
10/23/16,5
10/30/16,5
11/6/16,5
11/13/16,6
11/20/16,8
11/27/16,8
12/4/16,12
12/11/16,15
12/18/16,10
12/25/16,11
1/1/17,24
1/8/17,14
1/15/17,6
1/22/17,7
1/29/17,8
2/5/17,15
2/12/17,7
2/19/17,5
2/26/17,4
3/5/17,8
3/12/17,53