,links
0,/graphic/area-man-a-little-too-old-to-have-obama-fever-9986
1,/article/black-guy-asks-nation-for-change-2409
2,/article/obama-clinton-mccain-join-forces-to-form-nightmare-2455
3,/article/obama-practices-looking-off-into-future-pose-2459
4,/article/time-publishes-definitive-obama-puff-piece-2487
5,/article/obamas-hillbilly-half-brother-threatening-to-derai-2505
6,/article/obama-modifies-yes-we-can-message-to-exclude-area--2517
7,/video/portrayal-of-obama-as-elitist-hailed-as-step-forwa-14263
8,/article/obama-suddenly-panicked-after-gazing-too-far-into--6314
9,/article/obama-deletes-another-unread-moveonorg-e-mail-2531
10,/video/obama-promises-to-stop-americas-shitty-jobs-from-g-14269
11,/video/obama-runs-constructive-criticism-ad-against-mccai-14272
12,/article/parents-of-obama-volunteer-couldnt-be-more-proud-s-6378
13,/article/obama-clinches-joe-cabernet-sauvignon-vote-6390
14,/article/obama-under-fire-for-playing-t-ball-during-vietnam-6392
15,/article/southern-sheriff-pulls-over-obama-campaign-bus-for-2579
16,/graphic/obama-purchases-ad-space-on-side-of-mccains-bus-10071
17,/video/obama-undertakes-presidential-internship-to-ease-c-14283
18,/article/i-would-make-a-bad-president-obama-says-in-huge-ca-2588
19,/article/as-election-draws-near-area-man-moves-to-all-obama-6428
20,/graphic/fleet-of-stem-cell-container-trucks-ready-to-go-if-10074
21,/article/obama-warns-he-may-cease-to-exist-unless-america-b-6426
22,/article/obamas-record-breaking-fundraising-effort-bankrupt-6434
23,/article/black-man-given-nations-worst-job-6439
24,/article/hillary-clinton-resumes-attacking-obama-6440
25,/article/nation-finally-shitty-enough-to-make-social-progre-2594
26,/video/obama-win-causes-obsessive-supporters-to-realize-h-14287
27,/article/kobe-bryant-scores-25-in-holy-shit-we-elected-a-bl-2598
28,/article/international-con-man-barack-obama-leaves-us-with--2600
29,/article/us-economy-continues-campaigning-for-barack-obama-6484
30,/article/barack-obama-defeats-barack-hussein-obama-2624
31,/video/congress-debates-adding-elaborate-dance-to-obamas--14302
32,/article/inauguration-crowd-moves-to-white-house-gates-to-w-6540
33,/article/obama-inauguration-speech-ruined-by-incessant-jack-2643
34,/article/obama-disappointed-cabinet-failed-to-understand-hi-2648
35,/article/liberals-horrified-by-lack-of-inexperience-among-o-6561
36,/article/per-tradition-ex-presidents-watch-obamas-christen--6564
37,/article/obama-debuts-annoying-catchphrase-6572
38,/article/nations-blacks-creeped-out-by-all-the-people-smili-2662
39,/article/obama-peddling-stimulus-package-door-to-door-6587
40,/article/sasha-obama-keeps-seeing-creepy-bush-twins-while-r-2667
41,/article/cia-awkwardly-debriefs-obama-on-creation-of-crack--6596
42,/article/obama-outfitted-with-238-motion-capture-sensors-fo-2673
43,/article/obama-narrowly-survives-carnivorous-section-of-ros-6615
44,/article/area-man-just-realized-he-doesnt-even-know-when-ba-6638
45,/article/obama-depressed-distant-since-battlestar-galactica-2693
46,/article/2008-tax-records-reveal-sasha-obama-made-136-in-al-2698
47,/article/media-having-trouble-finding-right-angle-on-obamas-2703
48,/graphic/unusually-level-headed-charismatic-lichen-species--10150
49,/article/in-attempt-to-jump-start-economy-obama-declares-tu-6734
50,/graphic/obama-addresses-nation-still-wearing-spock-ears-10153
51,/article/obama-revises-campaign-promise-of-change-to-relati-6743
52,/article/presidential-radio-address-pledge-drive-in-its-fin-6754
53,/video/obama-drastically-scales-back-goals-for-america-af-14343
54,/article/michelle-obamas-arms-meet-with-sri-lankan-refugees-2743
55,/article/obama-announces-plans-to-run-for-mccains-senate-se-2748
56,/audio/president-obama-takes-ride-in-fdrs-wheelchair-13890
57,/video/obama-to-hold-job-performance-review-with-every-am-14347
58,/video/obama-axes-pentagon-plan-to-build-billion-dollar-t-14351
59,/article/nation-descends-into-chaos-as-throat-infection-thr-2767
60,/article/weakling-president-asks-imaginary-man-in-sky-to-bl-6787
61,/article/afterbirthers-demand-to-see-obamas-placenta-6866
62,/article/obama-trying-out-social-policies-in-second-life-6901
63,/video/poll-happy-healthy-obamas-out-of-touch-with-misera-14372
64,/article/obama-health-care-plan-would-give-seniors-right-to-2822
65,/video/obama-to-enter-diplomatic-talks-with-raging-wildfi-14374
66,/graphic/disapproving-michelle-obama-to-be-printed-on-all-f-10209
67,/article/us-continues-quagmire-building-effort-in-afghanist-2837
68,/article/obamas-declaration-of-swine-flu-emergency-prompts--6952
69,/article/barack-obama-names-alan-moore-official-white-house-6960
70,/video/obamas-home-teleprompter-malfunctions-during-famil-14383
71,/article/obama-tells-nation-hes-going-out-for-cigarettes-2864
72,/article/obama-to-wait-for-next-bruce-springsteen-album-for-7035
73,/graphic/obamas-embarrassing-ska-album-resurfaces-10255
74,/video/obama-caught-lip-syncing-speech-16889
75,/graphic/what-the-fuck-am-i-going-to-do-with-this-obama-say-17019
76,/article/obama-visits-kindergarten-to-read-class-200-page-m-17036
77,/article/obama-promoted-to-senior-vice-president-of-america-17321
78,/article/white-house-jester-beheaded-for-making-fun-of-soar-17495
79,/article/president-obama-mentions-hed-like-to-see-lebron-ja-17512
80,/article/obama-to-make-reassuring-eye-contact-with-every-la-17574
81,/graphic/obamas-college-apartment-on-the-market-17612
82,/article/obamas-weekly-video-addresses-becoming-increasingl-17649
83,/article/obamas-fifth-gulf-coast-visit-really-helps-a-lot-17748
84,/article/local-family-homeless-after-tornado-destroys-white-17757
85,/article/visiting-chinese-pm-presents-obama-with-the-expend-17886
86,/article/obama-declares-victory-sort-of-depending-on-how-yo-17916
87,/article/obama-to-create-17-new-jobs-by-resigning-and-final-17925
88,/graphic/obama-blasted-by-cool-refreshing-air-18042
89,/video/obama-releases-500000-men-from-us-strategic-bachel-18095
90,/article/poll-1-in-5-americans-believe-obama-is-a-cactus-18127
91,/graphic/stresses-of-white-house-causing-bo-to-go-premature-18202
92,/video/has-obama-failed-to-reduce-hostility-toward-obnoxi-18264
93,/article/obama-to-take-break-from-stumping-to-preside-over--18306
94,/article/obama-returns-from-india-with-these-gross-candies--18468
95,/video/obama-replaces-costly-high-speed-rail-plan-with-hi-18473
96,/video/obama-outlines-moral-philosophical-justifications--18509
97,/article/frustrated-obama-sends-nation-rambling-75000-word--18516
98,/article/obama-aside-from-all-the-weirdos-and-freaks-around-18929
99,/article/republicans-vote-to-repeal-obama-backed-bill-that--19025
100,/graphic/obama-pushes-job-creation-19027
101,/article/obama-delivers-whispered-untelevised-speech-on-gun-19068
102,/article/marauding-gay-hordes-drag-thousands-of-helpless-ci-19325
103,/article/white-house-to-hold-second-auditions-this-week-for-19900
104,/article/obama-orders-guantanamo-prisoners-transferred-to-n-19979
105,/article/obamas-deficit-reduction-plan-includes-spending-cu-20195
106,/article/obama-finishes-deal-to-get-every-american-a-free-p-20261
107,/video/obama-befriends-rich-elderly-widow-in-hopes-shell--20305
108,/article/obama-finally-tells-rambling-tom-vilsack-to-shut-t-20300
109,/article/obama-makes-it-through-another-day-of-resisting-ur-20364
110,/article/obama-tennessee-titans-have-no-clue-why-team-invit-20477
111,/article/handmade-anti-obama-sign-currently-frontrunner-for-20680
112,/article/obamas-aunt-sends-him-article-mentioning-united-st-20734
113,/article/obama-sort-of-freaked-out-after-not-receiving-sing-20906
114,/article/obama-debt-ceiling-deal-required-tough-concessions-21067
115,/video/obama-begs-us-not-to-embarrass-him-in-front-of-fre-21068
116,/article/obama-turns-50-despite-republican-opposition-21061
117,/video/obama-debt-ceiling-deal-a-prime-example-of-democra-21083
118,/article/new-gop-strategy-involves-reelecting-obama-making--21113
119,/article/obama-proposes-tax-increase-on-meanest-2-of-popula-21112
120,/video/gop-supports-obama-for-2012-we-need-more-time-to-c-21130
121,/article/obama-earns-money-for-us-by-appearing-in-japanese--21292
122,/article/house-condescendingly-approves-400-in-added-stimul-21315
123,/article/obama-visits-south-carolina-ravaged-south-carolina-26114
124,/graphic/obama-accidentally-seated-next-to-taliban-leader-a-26150
125,/article/obama-not-sure-how-to-handle-compliment-26251
126,/article/obama-seeks-approval-of-occupy-wall-street-protest-26351
127,/article/obama-publishes-tell-all-book-about-america-26520
128,/article/obama-now-attempting-to-get-each-word-of-jobs-bill-26570
129,/article/in-major-gaffe-obama-forgets-to-dumb-it-down-26820
130,/article/obama-openly-asks-nation-why-on-earth-he-would-wan-26933
131,/article/obama-spends-wednesday-doing-some-urgings-some-cal-27021
132,/article/president-obama-wondering-why-he-always-has-to-ini-27026
133,/video/critics-slam-obama-for-just-standing-there-during--27072
134,/graphic/obama-begins-state-of-the-union-by-asking-congress-27159
135,/video/embarrassed-steven-chu-accidentally-calls-barack-o-27193
136,/article/obama-criticized-for-living-in-lavish-mansion-whil-27238
137,/article/new-photos-reveal-stress-of-obamas-first-term-in-o-27311
138,/video/obama-begs-voters-not-to-make-his-daughters-switch-27368
139,/video/obama-urges-citizens-to-hide-evidence-of-our-forme-27410
140,/article/obama-no-option-off-the-table-except-snatching-ira-27436
141,/article/obama-waiting-for-perfect-moment-to-walk-by-white--27609
142,/article/backup-health-care-plan-involves-nation-sharing-on-27847
143,/video/democrats-obama-has-dicked-us-around-for-four-year-27897
144,/article/obama-launches-more-realistic-i-have-big-ideas-but-27953
145,/video/obamas-approval-rating-down-after-photos-surface-o-28010
146,/article/obama-asks-staff-to-try-to-include-national-securi-28068
147,/article/obama-blasts-obamas-evasive-stance-on-gay-marriage-28146
148,/video/republicans-stalling-obamas-agenda-by-speaking-mov-28234
149,/graphic/obama-slips-hope-into-speech-for-the-fans-28732
150,/article/obama-pledges-to-repeal-health-care-law-if-reelect-28730
151,/graphic/michelle-obama-powers-through-another-day-of-doing-28882
152,/blogpost/holy-shit-i-just-realized-people-want-to-kill-my-d-28891
153,/article/area-family-awakes-to-find-michelle-obama-tending--29038
154,/article/now-that-man-has-heard-about-barack-obama-he-sees--29116
155,/article/romney-murdered-jonbenet-ramsey-new-obama-campaign-29114
156,/video/obama-starring-in-new-judd-apatow-comedy-to-appeal-29159
157,/graphic/obama-up-early-cooking-breakfast-in-one-of-michell-29173
158,/article/college-newspaper-endorses-barack-obama-29285
159,/blogpost/good-evening-its-an-honor-to-be-used-as-a-politica-29437
160,/article/unemployed-man-who-had-to-move-back-in-with-his-pa-29448
161,/article/obamas-19-year-old-son-makes-rare-appearance-at-dn-29458
162,/article/obama-help-us-destroy-jesus-and-start-a-new-age-of-29478
163,/graphic/white-house-officials-confirm-malia-obama-now-seve-30033
164,/article/gallup-poll-rural-whites-prefer-ahmadinejad-to-oba-29677
165,/graphic/obama-unsure-how-to-turn-huge-support-among-women--30036
166,/article/obama-camp-vows-to-win-neighborhoods-where-romney--29756
167,/article/obama-makes-surprise-visit-to-quantum-branching-mu-29763
168,/article/obama-hoping-jim-lehrer-doesnt-bring-up-us-economy-29782
169,/article/sasha-obama-asks-father-why-he-was-acting-like-suc-29795
170,/article/obama-excited-to-participate-in-first-debate-29930
171,/article/debate-cut-short-as-lantern-fire-burns-down-ol-tow-29949
172,/article/bruce-springsteen-accidentally-plays-big-governmen-29976
173,/article/weeping-obama-breaks-down-admits-bin-laden-still-a-30058
174,/article/obama-takes-out-romney-with-mid-debate-drone-attac-30055
175,/blogpost/i-mean-if-i-lose-to-mitt-romney-ill-probably-kill--30092
176,/blogpost/this-may-not-be-the-ideal-moment-politically-but-i-30203
177,/article/obama-announces-we-are-invading-iran-right-now-30279
178,/article/defeated-man-victorious-30281
179,/video/after-obama-victory-shrieking-white-hot-sphere-of--30284
180,/article/obama-romney-remain-about-equally-powerful-30289
181,/graphic/obama-a-little-creeped-out-by-how-much-everyone-in-30298
182,/video/obama-second-term-will-be-like-breaking-bad-times--30399
183,/video/obama-i-will-allow-10-states-to-secede-but-no-more-30421
184,/article/obama-paranoid-government-coming-for-his-guns-30638
185,/video/gop-well-accept-higher-taxes-if-president-obama-gi-30728
186,/article/air-force-one-pilot-invites-excited-obama-into-coc-30852
187,/article/obama-begins-inauguration-festivities-with-ceremon-30974
188,/article/hungover-michelle-obama-packs-leftover-inaugural-b-30988
189,/graphic/michelle-obama-not-so-keen-on-presidents-new-bangs-30992
190,/article/bo-obama-receives-visiting-dognitaries-from-furugu-31075
191,/blogpost/look-im-just-going-to-say-it-i-collect-antique-naz-31172
192,/article/obama-blanks-on-what-hes-ineffectually-urging-cong-31191
193,/article/photojournalist-spends-month-in-oval-office-blind--31205
194,/article/sweating-obama-admits-drone-strikes-have-been-happ-31219
195,/article/expansive-obama-state-of-the-union-speech-to-touch-31263
196,/article/completely-self-absorbed-obama-gets-up-and-just-ta-31272
197,/article/obama-congress-must-reach-deal-on-budget-by-march--31460
198,/blogpost/look-its-come-down-to-this-either-i-have-to-murder-31504
199,/article/youre-my-best-friend-says-obama-to-drone-that-appe-31594
200,/article/this-is-a-pointless-trip-obama-says-while-shaking--31745
201,/article/obama-sarcastically-asks-how-israel-afforded-such--31750
202,/article/obama-rachel-goldstein-really-hitting-it-off-on-gr-31753
203,/article/palestinians-israelis-come-together-to-mock-obamas-31767
204,/article/president-personally-performs-first-obamacare-euth-31896
205,/article/syrians-lives-are-worthless-obama-tells-daughters--31934
206,/article/obama-orders-reinvasion-of-iraq-after-illuminating-32202
207,/article/fuck-you-obama-says-in-hilarious-correspondents-di-32245
208,/article/obama-explains-how-they-get-all-those-cars-on-the--32288
209,/article/obama-speechwriters-unsure-how-theyd-praise-fort-l-32364
210,/article/michelle-obama-shutters-lets-move-program-after-fa-32410
211,/article/sasha-obama-suspicious-after-doing-a-little-diggin-32436
212,/article/obama-supporter-has-perfectly-improbable-explanati-32462
213,/article/the-onion-urges-barack-obama-to-come-clean-about-t-32466
214,/article/nation-supposes-its-outraged-by-white-house-scanda-32486
215,/article/obama-fondly-recalls-frustration-of-first-term-32487
216,/article/obama-fed-grapes-while-urging-press-conference-to--32540
217,/video/obama-aims-to-limit-civilian-casualties-with-switc-32563
218,/article/tecmo-bowlwinning-bulldogs-visit-white-house-32596
219,/slideshow/19-tweets-from-the-audubon-societybarack-obama-twi-32625
220,/article/obama-takes-excited-daughters-out-for-day-of-drone-32702
221,/article/obama-administration-releases-nations-phone-record-32712
222,/article/michelle-obama-seen-outside-walking-family-rhinoce-32851
223,/blogpost/sometimes-when-things-get-really-stressful-i-close-32863
224,/article/michelle-obama-finally-gets-around-to-reading-drea-33120
225,/article/tiny-advisor-who-lived-in-obamas-ear-dead-at-83-33172
226,/article/obama-not-sure-how-to-tell-nation-this-but-he-ran--33402
227,/article/psychiatrist-patiently-listens-to-obama-complain-a-33553
228,/article/obama-family-adopts-44-year-old-portuguese-water-m-33558
229,/article/obama-deeply-concerned-after-syrians-gassed-to-dea-33590
230,/article/obama-weighing-his-syria-option-33641
231,/article/obama-throws-up-right-there-during-syria-meeting-33685
232,/article/obama-assures-americans-this-will-not-be-another-1-33719
233,/article/obama-meets-with-nations-schizophrenic-voices-to-u-33907
234,/article/man-who-understands-8-of-obamacare-vigorously-defe-34022
235,/article/tea-party-leaders-announce-support-for-deal-in-exc-34101
236,/article/high-powered-washington-fixer-tells-blood-soaked-o-34115
237,/article/michelle-obama-opens-up-in-marie-claire-our-sex-li-34160
238,/article/obamacare-helps-uninsured-americans-become-blindin-34176
239,/article/obama-announces-start-of-annual-dc-spooktacular-34317
240,/blogpost/folks-we-dont-usually-do-this-on-the-white-house-t-34522
241,/article/obama-has-that-sex-dream-about-nation-again-34534
242,/article/terrified-obama-trapped-inside-healthcaregov-websi-34615
243,/article/white-house-announces-sasha-obama-to-now-be-played-34618
244,/article/obama-not-ruling-out-us-military-action-in-congres-34946
245,/article/aides-advise-obama-to-avoid-any-mention-of-america-35085
246,/article/obama-throws-small-business-owner-into-seat-tells--35091
247,/article/obama-admits-us-hasnt-been-the-same-since-buddy-ho-35092
248,/article/obama-spends-afternoon-in-garage-restoring-classic-35505
249,/article/white-house-sends-obama-to-3-day-management-semina-35624
250,/article/obama-spends-another-night-searching-behind-white--35850
251,/video/should-obama-blow-the-silver-horn-the-founding-fat-36011
252,/article/obama-already-knows-who-hes-going-to-tear-apart-in-36173
253,/article/obama-narrowly-misses-quarterly-performance-bonus-36392
254,/article/obama-always-freaked-out-by-people-standing-above--36427
255,/article/obama-to-cut-costs-by-packing-lunch-every-day-for--36536
256,/article/michelle-obama-can-still-hear-their-little-labored-36614
257,/article/obama-iraq-airstrikes-not-slippery-slope-to-other--36652
258,/article/obama-has-colorado-appraised-36678
259,/article/obama-to-assure-nation-that-isis-campaign-will-be--36898
260,/article/obama-vows-to-split-isis-into-dozens-of-extremist--36903
261,/article/obama-sleeping-with-louisville-slugger-under-bed-n-36986
262,/article/obama-informs-nation-anarchy-will-reign-during-sea-37024
263,/article/obama-currently-being-chased-in-background-of-secr-37073
264,/article/crowd-outside-white-house-hoping-to-catch-glimpse--37283
265,/article/morbidly-curious-nation-wondering-how-far-obamas-a-37378
266,/article/presidential-castrato-brought-into-oval-office-to--37396
267,/article/obama-calls-for-turret-mounted-video-cameras-on-al-37586
268,/article/michelle-obama-quietly-reassigned-to-department-of-37645
269,/graphic/white-house-running-out-of-paintings-to-cover-spot-37736
270,/article/well-heres-what-wont-pass-obama-says-before-listin-37811
271,/article/you-are-not-your-job-obama-reminds-himself-through-38062
272,/article/raytheon-ceo-sends-obama-another-article-about-mou-38084
273,/article/netanyahu-doubles-down-against-obama-with-powerpoi-38137
274,/article/relieved-malia-obama-quietly-thanks-secret-service-38203
275,/article/michelle-obama-renovates-van-buren-workout-room-38275
276,/article/obama-fantasizes-about-ordering-drone-strike-again-38412
277,/article/architect-presents-obama-with-generic-options-for--38429
278,/article/obama-lays-out-plan-achieve-lasting-peace-talks-mi-50336
279,/graphic/obama-still-hasnt-figured-out-how-adjust-height-ov-50496
280,/article/bloated-obama-delivers-press-conference-couch-behi-50957
281,/article/obama-practices-defiant-speech-aliens-late-night-b-51037
282,/article/poll-89-americans-believe-obama-has-failed-bring-a-51061
283,/article/obamas-decide-stay-white-house-until-daughters-fin-51259
284,/article/obama-hosts-diplomatic-talks-starbucks-while-oval--51339
285,/article/obama-scrambling-around-white-house-kitchen-state--51387
286,/article/man-cant-believe-obama-would-use-tragedy-push-anti-51455
287,/article/report-increase-gun-sales-be-most-concrete-result--51456
288,/article/obama-returns-trade-summit-5-stout-ships-full-card-51469
289,/article/obama-follows-white-stallion-moonlit-rose-garden-51554
290,/article/desperate-obama-just-wants-know-who-give-weapons-o-51853
291,/graphic/obama-increases-sense-urgency-riding-last-white-rh-51933
292,/article/obama-returns-paris-climate-talks-couple-energy-ef-51981
293,/article/budget-conscious-obamas-strongly-pushing-malia-tow-51998
294,/article/nation-shudders-think-how-mad-nra-would-be-if-obam-52131
295,/article/white-house-carefully-screening-any-gun-control-to-52135
296,/article/obama-praises-own-strength-resilience-face-hardshi-52152
297,/article/obama-gently-guides-michelles-hand-she-maneuvers-d-52221
298,/article/parallel-world-leaders-meet-washington-interdimens-52291
299,/article/obama-resigns-presidency-after-michelle-lands-drea-52338
300,/article/obama-compiles-shortlist-gay-transsexual-abortion--52361
301,/article/obama-tells-nation-just-chalk-today-loss-52373
302,/article/obama-transformed-20-foot-tall-monster-president-a-52471
303,/article/obama-finally-reveals-nature-his-work-daughters-52502
304,/article/obama-receives-classified-briefing-likelihood-krul-52581
305,/article/uscuba-relations-end-after-obama-hit-foul-ball-exh-52610
306,/article/obama-announces-plan-store-nations-extra-stuff-lar-52664
307,/article/obama-caught-trying-jump-white-house-fence-52753
308,/article/obama-reminds-nation-hes-taking-personal-day-next--52759
309,/graphic/busy-obama-sends-drone-pick-sasha-school-52877
310,/article/us-loses-un-membership-after-soapy-bo-obama-jumps--52909
311,/article/disney-begins-uploading-obamas-consciousness-hall--52926
312,/article/obama-discovers-telepathic-connection-military-dro-53059
313,/article/frustrated-obama-writes-letter-his-congressman-abo-53087
314,/article/obama-signs-conservation-act-preserve-nations-last-53208
315,/article/michelle-obama-well-there-are-8-years-my-life-ill--53319
316,/article/obama-hillary-will-fight-protect-my-legacy-even-tr-53359
317,/article/obama-holds-camp-david-summit-ease-tensions-coyote-53449
318,/article/obama-clears-2000-square-miles-us-airspace-new-fre-53490
319,/article/michelle-obama-throws-out-bunch-baracks-old-number-54167
320,/article/sunny-saves-bo-mountain-lion-during-cross-country--54180
321,/article/obama-finally-fulfills-campaign-promise-spend-one--54785
